different digits: 272255

<digits> <times>
b'1478963' 49
b'0514' 49
b'0817' 49
b'775' 49
b'332211' 49
b'0820' 49
b'6789' 49
b'0317' 49
b'061112' 49
b'1324' 49
b'1231230' 48
b'911911' 48
b'174292' 48
b'1437' 48
b'321123' 48
b'922' 48
b'305' 48
b'0124' 48
b'232' 48
b'59420' 48
b'0411' 48
b'0618' 48
b'889' 48
b'0916' 48
b'333333' 48
b'271828' 48
b'819' 47
b'881016' 47
b'32167' 47
b'1970' 47
b'400' 47
b'0305' 47
b'630' 47
b'12341234' 47
b'0319' 47
b'0216' 47
b'0819' 47
b'748' 47
b'25257758' 47
b'0564335' 47
b'0316' 47
b'0901' 46
b'541788' 46
b'601' 46
b'0716' 46
b'0714' 46
b'258258' 46
b'183' 46
b'0126' 46
b'0204' 46
b'1235' 46
b'1222' 46
b'0510' 46
b'0221' 45
b'197912' 45
b'0515' 45
b'0917' 45
b'0912' 45
b'0326' 45
b'0532' 45
b'0220' 45
b'246' 45
b'0520' 45
b'1313' 45
b'0628' 45
b'0717' 45
b'0211' 45
b'0911' 45
b'0506' 45
b'571' 45
b'88888' 44
b'541' 44
b'986' 44
b'0809' 44
b'600' 44
b'206' 44
b'432' 44
b'0932313' 44
b'209' 44
b'0129' 44
b'0915' 44
b'0815' 44
b'0509' 44
b'0829' 44
b'12344321' 44
b'0328' 44
b'000111' 44
b'0621' 44
b'454' 44
b'550' 44
b'592' 44
b'0201' 44
b'0401' 44
b'0104' 44
b'7878' 43
b'0708' 43
b'19891001' 43
b'0927' 43
b'2030' 43
b'0322' 43
b'356' 43
b'603' 43
b'8341' 43
b'321456' 43
b'123457' 43
b'857' 43
b'0801' 43
b'0713' 43
b'0318' 43
b'029' 43
b'404' 43
b'0722' 43
b'268' 43
b'888666' 43
b'229' 43
b'0825' 43
b'0517' 43
b'0987654321' 43
b'111000' 43
b'2525775' 43
b'153' 43
b'0304' 43
b'19861023' 43
b'0215' 43
b'0303' 43
b'012520' 42
b'12358' 42
b'999999999' 42
b'0821' 42
b'0608' 42
b'0526' 42
b'2013' 42
b'1236' 42
b'0627' 42
b'0000000000' 42
b'308' 42
b'2587758' 42
b'0918' 42
b'980' 42
b'0622' 42
b'166' 42
b'659' 42
b'0525' 42
b'331' 42
b'7758991' 42
b'0327' 42
b'0324' 42
b'0811' 42
b'0208' 42
b'004' 42
b'0818' 42
b'7777' 42
b'192' 42
b'19891009' 42
b'197971' 42
b'204' 41
b'120120' 41
b'0707' 41
b'5288' 41
b'198911' 41
b'0923' 41
b'8630516' 41
b'506' 41
b'110112' 41
b'1123581321' 41
b'427' 41
b'0724' 41
b'207' 41
b'0212' 41
b'198512' 41
b'3838438' 41
b'456258' 41
b'0127' 41
b'770880' 41
b'0111424' 41
b'802' 41
b'306' 41
b'0528' 41
b'288' 41
b'0218' 41
b'724' 41
b'424' 41
b'246810' 41
b'0715' 40
b'2046' 40
b'591' 40
b'0823' 40
b'0928' 40
b'0202' 40
b'0323' 40
b'1963' 40
b'1234569' 40
b'0511' 40
b'0314' 40
b'0503' 40
b'235689' 40
b'0301' 40
b'0711' 40
b'1818' 40
b'402' 40
b'0507' 40
b'0702' 40
b'562020' 40
b'2876180' 40
b'770' 39
b'730' 39
b'022' 39
b'0605' 39
b'987456' 39
b'2525' 39
b'186' 39
b'5460' 39
b'9988' 39
b'0926' 39
b'198912' 39
b'0826' 39
b'0118' 39
b'817' 39
b'198710' 39
b'1588' 39
b'361' 39
b'0527' 39
b'241' 39
b'0813' 39
b'0219' 39
b'0601' 39
b'2121' 39
b'0710' 39
b'0419' 38
b'0529' 38
b'0210' 38
b'0629' 38
b'198612' 38
b'0206' 38
b'0406' 38
b'159632' 38
b'141' 38
b'808' 38
b'198812' 38
b'555666' 38
b'0103' 38
b'7788250' 38
b'1234321' 38
b'861027' 38
b'119911' 38
b'180' 38
b'0306' 38
b'1122334' 38
b'0810' 38
b'0728' 38
b'0531' 37
b'290990' 37
b'0925' 37
b'0905' 37
b'0615' 37
b'0619' 37
b'2020' 37
b'901' 37
b'801' 37
b'888168' 37
b'0914' 37
b'190' 37
b'0919' 37
b'489' 37
b'200888' 37
b'028' 37
b'0924' 37
b'897' 37
b'0814' 37
b'248' 37
b'803' 37
b'942' 37
b'880' 37
b'0808' 37
b'125521' 37
b'445566' 37
b'0427' 37
b'197976' 37
b'13528519554' 37
b'89891' 37
b'237' 36
b'7788520' 36
b'0417' 36
b'881122' 36
b'546' 36
b'5683' 36
b'504' 36
b'1816' 36
b'198688' 36
b'881010' 36
b'403' 36
b'12345600' 36
b'12121212' 36
b'0213' 36
b'123258' 36
b'7788414' 36
b'701' 36
b'9876' 36
b'0403' 36
b'0519' 36
b'399' 36
b'0902' 36
b'19871021' 36
b'321321321' 36
b'0524' 36
b'19881020' 36
b'602' 36
b'1233' 36
b'985' 36
b'027' 36
b'775825' 36
b'200808' 35
b'1965' 35
b'0769' 35
b'12369' 35
b'233' 35
b'0421' 35
b'0626' 35
b'1100' 35
b'0704' 35
b'1988123' 35
b'0607' 35
b'0828' 35
b'0501' 35
b'9981' 35
b'0001' 35
b'863' 35
b'0824' 35
b'3456' 35
b'963258' 35
b'119119' 35
b'1236987' 35
b'157' 35
b'257' 35
b'707' 35
b'1943' 35
b'503' 35
b'56789' 35
b'0409' 35
b'0624' 35
b'405' 35
b'456321' 34
b'881001' 34
b'222333' 34
b'386' 34
b'0725' 34
b'1235813' 34
b'198717' 34
b'0302' 34
b'0422' 34
b'061' 34
b'19881107' 34
b'606' 34
b'0108' 34
b'155' 34
b'19891010' 34
b'0709' 34
b'350' 34
b'781221' 34
b'0320' 34
b'123369' 34
b'332' 34
b'1964' 34
b'0325' 34
b'19891022' 34
b'8989' 34
b'1392010' 34
b'996633' 34
b'1860' 34
b'234567' 34
b'0228' 34
b'789852' 34
b'1988129' 34
b'1613' 34
b'478' 34
b'0205' 34
b'1200' 34
b'486' 34
b'8589909' 34
b'121425' 33
b'123098' 33
b'5858' 33
b'269' 33
b'0502' 33
b'0802' 33
b'0223' 33
b'0308' 33
b'903' 33
b'0804' 33
b'686' 33
b'110110110' 33
b'0011' 33
b'14159' 33
b'632' 33
b'930' 33
b'198702' 33
b'6543210' 33
b'236' 33
b'407' 33
b'198411' 33
b'0625' 33
b'119110' 33
b'786' 33
b'0420' 33
b'142' 33
b'174' 33
b'0412' 33
b'19881121' 33
b'1900' 32
b'0721' 32
b'172' 32
b'567890' 32
b'0504' 32
b'19881127' 32
b'956' 32
b'772' 32
b'0731' 32
b'838' 32
b'5131421' 32
b'366' 32
b'74123' 32
b'881123' 32
b'798' 32
b'1967' 32
b'0610' 32
b'12321' 32
b'940' 32
b'706' 32
b'179' 32
b'549' 32
b'0414' 31
b'0660' 31
b'580231' 31
b'304' 31
b'198511' 31
b'996' 31
b'19881123' 31
b'881023' 31
b'533' 31
b'0703' 31
b'0203' 31
b'0606' 31
b'334' 31
b'181' 31
b'99999' 31
b'750' 31
b'0109' 31
b'881028' 31
b'19891013' 31
b'545' 31
b'357159' 31
b'9900' 31
b'1258' 31
b'5211' 31
b'580' 31
b'0105' 31
b'19830109' 31
b'12369874' 31
b'170' 31
b'147963' 31
b'0114' 31
b'0451' 31
b'83836' 31
b'408' 30
b'992' 30
b'19881030' 30
b'74110' 30
b'148' 30
b'5252' 30
b'110119120' 30
b'841021' 30
b'9898' 30
b'0616' 30
b'251' 30
b'2580' 30
b'0207' 30
b'00544' 30
b'0408' 30
b'558' 30
b'868' 30
b'58452' 30
b'013' 30
b'858' 30
b'5168' 30
b'102938' 30
b'0110' 30
b'0416' 30
b'378' 30
b'198215' 30
b'0423' 30
b'0720' 30
b'778' 30
b'030' 30
b'881225' 30
