different specials: 2234

<specials> <times>
b';$' 1
b'+_)([' 1
b'*&^)_' 1
b'^_' 1
b'{}:"<>?' 1
b'--*' 1
b'&&&&&&' 1
b'~!%' 1
b'&*%' 1
b'!#&!#*' 1
b".;'" 1
b'<<>>' 1
b'(),' 1
b'+`' 1
b'*!%' 1
b'\xb5\xb9\xcb\xae\xba\xd3' 1
b'\xb9\xab\xd1\xdd' 1
b'^%!@@^' 1
b'\xce\xaa\xca\xb2\xc3\xb4' 1
b'*^)*)*' 1
b')&@!' 1
b'~*.' 1
b'@))' 1
b'/$' 1
b'//=' 1
b'|+_)(*&^%$#@!' 1
b'(()%' 1
b'`/*-' 1
b'#@!#@!' 1
b'\xcc\xab\xc6\xbd\xd1\xf3' 1
b'**^@' 1
b'^_^.' 1
b'#*#*' 1
b'*&!@!&' 1
b'^^!!*' 1
b'??__' 1
b'!!#)' 1
b'!@#$%&' 1
b'.@#$%' 1
b'\xd4\xda' 1
b'\xb5\xc4' 1
b'^(*&$!' 1
b'----*' 1
b'@@)!)' 1
b'!((^)^@@' 1
b')%)#' 1
b'!~@' 1
b'\xd3\xce\xcf\xb7\xca\xc7\xd2\xbb\xd6\xd6\xc9\xf1\xc6\xe6\xb5\xc4\xb3\xcc\xd0\xf2\xa3\xac\xba\xdc\xb6\xe0\xb0\xae\xba\xc3\xd5\xdf\xca\xb9\xd3\xc3' 1
b'!)@!' 1
b'_________________' 1
b'./;' 1
b'%!##!%' 1
b'(@^' 1
b'/+.' 1
b'**--//' 1
b'*^&%' 1
b'\xb7\xb4\xc9\xe4\xbb\xfa\xd6\xc6\xba\xcd\xb6\xaf\xcc\xac\xb4\xfa\xc0\xed.' 1
b'@!&%@#%' 1
b'~&~&' 1
b'@:' 1
b'*+/-' 1
b'_/' 1
b':?>' 1
b'>:' 1
b'%)))' 1
b'!&!^' 1
b'!!!@@@' 1
b'^**' 1
b'&&%*((!' 1
b'^$!))&' 1
b'~!@#$`' 1
b'_@_' 1
