different digits: 15260

<digits> <times>
b'810' 3
b'0420' 3
b'5522' 3
b'445' 3
b'9876' 3
b'1002' 3
b'5470' 3
b'095' 3
b'696969' 3
b'5500' 3
b'2740' 3
b'50662' 3
b'669' 3
b'1615259' 3
b'2605' 3
b'202020' 3
b'0569' 3
b'7454' 3
b'930' 3
b'185' 3
b'163' 3
b'0704' 3
b'738' 3
b'8765' 3
b'794' 3
b'9437' 3
b'194' 3
b'0922' 3
b'085' 3
b'5358' 3
b'997' 3
b'2202' 3
b'9911' 3
b'12121' 3
b'7754' 3
b'7890' 3
b'2485' 3
b'3956' 3
b'467' 3
b'697' 3
b'3405' 3
b'2628' 3
b'6996' 3
b'2216' 3
b'246810' 3
b'1205' 3
b'1442' 3
b'5045' 3
b'2255' 3
b'1204' 3
b'1590' 3
b'6657' 3
b'0522' 3
b'603' 3
b'041166' 3
b'8294' 3
b'0912' 3
b'403' 3
b'3398' 3
b'019' 3
b'0210' 3
b'3761' 3
b'5225' 3
b'4573' 3
b'0920' 3
b'040894' 3
b'15951' 3
b'2436' 3
b'152' 3
b'506' 3
b'2229' 3
b'3473' 3
b'87654321' 3
b'2247' 3
b'508' 3
b'4825' 3
b'9667' 3
b'2668' 3
b'2539' 3
b'2232' 3
b'81201854' 3
b'5300' 3
b'2370' 3
b'0527' 3
b'3932' 3
b'496' 3
b'2834' 3
b'146' 3
b'1253' 3
b'6161' 3
b'4975' 3
b'2411' 3
b'5677' 3
b'2011' 3
b'1035' 3
b'44085' 3
b'5743' 3
b'245' 3
b'3790' 3
b'4453' 3
b'2385' 3
b'8085' 3
b'3220' 3
b'7059988' 3
b'3062' 3
b'032' 3
b'988' 3
b'834' 3
b'7483229' 3
b'3953' 3
b'6069' 3
b'5050' 3
b'2402' 3
b'5665' 3
b'775' 3
b'859' 3
b'8873' 3
b'868' 3
b'7484' 3
b'4946' 3
b'46845' 3
b'3957' 3
b'2269' 3
b'3690' 3
b'74868' 3
b'4469' 3
b'7323' 3
b'9959' 3
b'7482' 3
b'2443' 3
b'0330' 3
b'2869' 3
b'0900' 3
b'0302' 3
b'7845' 3
b'2979' 3
b'5380' 3
b'1945' 3
b'2272' 3
b'5505' 3
b'4260' 3
b'8009' 3
b'5827' 3
b'2076' 3
b'4205' 3
b'8932' 3
b'933' 3
b'5086' 3
